Country1,Country2,Sentence
South Africa,Israel,"South Africa developed six crude weapons in the 1980s (which it later dismantled), and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it."
Libya,Iran,"The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation, but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs."
Germany,France,"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Soviet Union."
Japan,United States,"Japan was also placed under United States occupation, that would last seven years, until 1952."
India,India,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
India,Pakistan,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
India,Pakistan,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
Laos,Cambodia,"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam."
Laos,Vietnam,"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam."
Cambodia,Vietnam,"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam."
Kenya,Ghana,"In Africa, nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule."
Latvia,Estonia,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Latvia,Lithuania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Latvia,Finland,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Latvia,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Estonia,Lithuania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Estonia,Finland,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Estonia,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Lithuania,Finland,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Lithuania,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Finland,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Albania,Bulgaria,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Poland,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Romania,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Poland,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Romania,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Poland,Romania,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Poland,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Poland,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Romania,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Romania,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Czech Republic,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Mongolia,Cuba,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam."
Mongolia,Vietnam,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam."
Cuba,Vietnam,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam."
Canada,Australia,"General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion."
Russia,Japan,"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada."
Russia,Canada,"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada."
Japan,Canada,"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada."
Finland,Germany,"^ ""Why Finland allied itself with Nazi Germany | Letter""."
Germany,Norway,"^ ""Germany's Invasion of Denmark and Norway""."
Italy,Japan,"^ ""The Avalon Project: Summary of the Three-Power Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940""."
Iran,Iran,"^ ""Major milestones of Iran's nuclear programme | Iran | Al Jazeera""."
Romania,Russia,"The Moldovans: Romania, Russia, and the Politics of Culture."
